co_nombre,co_finalidad,co_direccion,co_telefono1,co_contacto1,co_telefono2,co_contacto2,co_telefono3,co_contacto3,co_website,co_banco,co_cuenta_destino,co_pago,co_vendedor,co_sonido,co_comentarios,co_fecha,co_fecha_act,co_estado,co_operador,co_terminal,co_mora,co_comision,co_rnc
----------.CESARINA----------,0,0,0,0,,,,,,1,24472460019,2,0,NULL,,01:34.4,41:11.8,0,opaulino,GERENCIA,0,0,131-37045-4
----------.JONLEY----------,0,0,0,0,,,,,,1,24472460019,2,0,NULL,,02:39.2,41:30.6,0,opaulino,GERENCIA,0,0,131-37045-4
0. CANCELADOS NO LABORANDO,A RASTREAR,LA OFICINA,8098285353,0,,,,,,5,795319581,2,1,NULL,,59:53.2,31:48.8,1,rrodriguez,RL-PC,0,0.5,131-37045-4
0. CLIENTES PARA SEGUIMIENTOS JONLEY ,0,0,0,0,,,,,,2,300118368,2,1,NULL,,47:21.8,47:07.0,1,opaulino,SERVER-PC,0,0.5,131-37045-4
0. SEGUIMIENTO CK. JONLEY,0,0,0,0,,,,,,2,300118368,3,2,NULL,,10:25.7,47:29.5,1,opaulino,GERENCIA,0,0.5,131-37045-4
1. CANCELADOS BHD CON ACCESO IB Y TCM ,0,0,0,0,,,,,,1,24472460019,2,0,NULL,,13:37.8,01:50.3,1,mmoris,DESKTOP-VK5UM4E,0,0.5,131-37045-4
1.CANC. BANRESERVAS C/ACCESO IB,0,0,0,0,,,,,,2,300118368,2,0,NULL,,02:48.2,34:37.2,1,mmoris,COBROS32,0,0,131-37045-4
1.CANC. BANRESERVAS C/ACCESO IB SIN CUENTA DISPONIBLE,0,0,0,0,,,,,,2,300118368,2,0,NULL,,37:01.1,37:01.1,1,flor,DESKTOP-MO25F8N,0,0,131-37045-4
1.CANC. BANRESERVAS C/ACCESO IB Y TCM,0,0,0,0,,,,,,2,300118368,2,0,NULL,,40:53.4,31:29.2,1,flor,DESKTOP-MO25F8N,0,0,131-37045-4
1.CANCELADOS BHD CON ACCESO IB Y TCM ,0,0,0,0,,,,,,1,24472460019,2,0,NULL,,34:22.7,10:51.9,1,cgonzalezz,MOISESSS,0,0,131-34705-4
1.-CANCELADOS HIGUEY,OOOOOOOOOO,ooooooooooooo,0,ooooooooooooo,,,,,,2,300118368,2,0,NULL,,05:16.2,08:09.8,0,OPAULINO,SERVER-PC,NULL,NULL,NULL
1.CANCELADOS INESPRE,0,0,0,0,,,,,,2,300118368,3,0,NULL,,57:57.5,01:22.1,1,CGONZALEZZ,DESKTOP-DFEQDJR,0,0,131-37045-4
1.CANCELADOS POPULAR CON ACCESO IB,0,0,0,0,,,,,,5,795319581,2,0,NULL,,41:51.6,30:08.9,1,cgonzalezz,MOISESSS,0,0,131-34705-4
1.CANCELADOS POPULAR SIN ACESSO IB,0,0,0,0,,,,,,5,795319581,2,0,NULL,,34:12.6,48:39.7,1,cgonzalezz,MOISESSS,0,0,131-37045-4
1----------.MOISES----------,0,0,0,0,,,,,,1,24472460019,2,0,NULL,,00:02.4,42:42.6,0,opaulino,GERENCIA,0,0,131-37045-4
1-A GESTION DE COBROS ELIA,0,0,0,0,,,,,,7,,2,0,NULL,,39:57.9,50:16.3,0,opaulino,FGHFGHFGHHFGH,NULL,NULL,NULL
1-CANCELADOS ELIAS,HOTELERIA,uvero alto,0,0,,,,,,2,300118368,2,0,NULL,,32:49.8,30:58.0,0,opaulino,APPSERVER,NULL,NULL,NULL
1-CANCELADOS STO.DGO,0,0,0,0,,,,,,2,300118368,2,0,NULL,,04:45.9,50:11.4,0,rrodriguez,OPAULINO,NULL,NULL,NULL
1-CK ELIAS,HOTELERIA,UVERO ALTO,0,0,,,,,,7,,2,0,NULL,,33:27.2,43:57.1,0,opaulino,FGHFGHFGHHFGH,NULL,NULL,NULL
1-CLIENTES PARA SEGUIMIENTOS,0,0,0,0,,,,,,7,,2,0,NULL,,22:30.3,44:10.0,0,OPAULINO,WIN-UWIUFQ08L4C,NULL,NULL,NULL
1-D QUINCENALES BANRESERVAS ELIA,HOTELERIA,bavaro,0,0,,,,,,2,300118368,2,0,NULL,,04:54.9,44:19.6,0,rrodriguez,APPSERVER,NULL,NULL,NULL
1-D QUINCENALES POPULAR ELIA ,0,0,0,0,,,,,,5,795319581,2,0,NULL,,46:14.7,47:35.1,0,rrodriguez,APPSERVER,NULL,NULL,NULL
1-DREAMS UVERO ALTO ELIAS,0,0,0,0,,,,,,2,300118368,2,0,NULL,,50:19.8,51:14.0,0,rrodriguez,APPSERVER,NULL,NULL,NULL
